latitude,longitude,depth_m
18.54618065,73.95415465,1.78155093
18.54618118,73.95424939,1.749185361
18.5461817,73.95434413,1.702694165
18.54618223,73.95443887,1.713064251
18.54618275,73.95453362,1.727277087
18.54618328,73.95462836,1.754253009
18.5461838,73.9547231,1.754253009
18.54618432,73.95481784,1.753555056
18.54618485,73.95491259,1.750530595
18.54618904,73.95567052,1.76262844
18.54618957,73.95576527,1.76262844
18.54619009,73.95586001,1.76262844
18.5461948,73.95671269,1.775035994
18.54619533,73.95680743,1.782771187
18.54619585,73.95690217,1.793434284
18.54619637,73.95699691,1.77779062
18.54620003,73.95766011,1.812044381
18.54620056,73.95775485,1.794578191
18.54620108,73.9578496,1.779398214
18.54620265,73.95813382,1.832455813
18.54620317,73.95822856,1.824071415
18.54620369,73.95832331,1.852997181
18.54620422,73.95841805,1.843887978
18.54620474,73.95851279,1.839724052
18.54620526,73.95860753,1.839552309
18.54620578,73.95870228,1.830225832
18.54620631,73.95879702,1.834606421
18.54620683,73.95889176,1.842141155
18.54620735,73.9589865,1.821580326
18.54620787,73.95908125,1.785787601
18.5462084,73.95917599,1.770933034
18.54620892,73.95927073,1.787230291
18.54620944,73.95936547,1.78376715
18.54620996,73.95946021,1.776831015
18.54621048,73.95955496,1.77939136
18.54621101,73.9596497,1.770383354
18.54621153,73.95974444,1.772413038
18.54621205,73.95983918,1.762487291
18.54621257,73.95993393,1.744694031
18.54621309,73.96002867,1.76262844
18.54621361,73.96012341,1.76262844
18.54621414,73.96021815,1.76262844
18.54621466,73.9603129,1.76262844
18.54621518,73.96040764,1.76262844
18.5462157,73.96050238,1.76262844
18.54621622,73.96059712,1.76262844
18.54621674,73.96069187,1.76262844
18.54621727,73.96078661,1.76262844
18.54621779,73.96088135,1.76262844
18.54621831,73.96097609,1.76262844
18.54621883,73.96107084,1.76262844
18.54621935,73.96116558,1.76262844
18.54607873,73.95207087,1.870454963
18.54607926,73.95216561,1.793418211
18.54607978,73.95226036,1.745527866
18.54608031,73.9523551,1.723493287
18.54608083,73.95244984,1.747520885
18.54608136,73.95254458,1.748839163
18.54608188,73.95263932,1.780799643
18.54608241,73.95273407,1.790527002
18.54608294,73.95282881,1.807160599
18.54608346,73.95292355,1.840185597
18.54608399,73.95301829,1.857693577
18.54608451,73.95311303,1.84830517
18.54608504,73.95320778,1.835089908
18.54608556,73.95330252,1.822337069
18.54608609,73.95339726,1.812531288
18.54608661,73.953492,1.807286717
18.54608714,73.95358675,1.805985443
18.54608766,73.95368149,1.797636951
18.54608819,73.95377623,1.794514889
18.54608871,73.95387097,1.782641935
18.54608924,73.95396571,1.767564069
18.54608976,73.95406046,1.767465586
18.54609029,73.9541552,1.771154709
18.54609081,73.95424994,1.739122652
18.54609134,73.95434468,1.733771805
18.54609186,73.95443942,1.728276546
18.54609238,73.95453417,1.76262844
18.54609291,73.95462891,1.754253009
18.54609343,73.95472365,1.754253009
18.54609396,73.95481839,1.753555056
18.54609448,73.95491313,1.76262844
