vertex_id,longitude,latitude,altitude
67,73.9818065715267,18.5299195673982,0.0
68,73.9807400681012,18.5306275201291,0.0
69,73.9800181548527,18.5313231043992,0.0
70,73.9795118845928,18.5314268600002,0.0
71,73.9790839694374,18.5318541666065,0.0
72,73.978648650593,18.532325510984,0.0
73,73.9782121966961,18.5325678152761,0.0
74,73.9780404072444,18.5328442646278,0.0
75,73.9774434413361,18.5338166291493,0.0
76,73.9770141248731,18.534326247069,0.0
77,73.9765370997636,18.5352158401762,0.0
78,73.9761214565726,18.5358132341895,0.0
79,73.9757788858428,18.5363344341884,0.0
80,73.9757564173419,18.5368220704894,0.0
81,73.9756999980497,18.5374975482323,0.0
82,73.9754760482063,18.5381395978626,0.0
83,73.9751568617231,18.53922679053,0.0
84,73.9747471284,18.5397886008943,0.0
85,73.9743875168878,18.5403529729738,0.0
86,73.973914960148,18.5407326024843,0.0
87,73.9734663671051,18.5410472411494,0.0
88,73.9731428704236,18.5418126673688,0.0
89,73.9727437191051,18.5422765298022,0.0
90,73.9717225480914,18.542833495875,0.0
91,73.9710086076098,18.5431069762373,0.0
92,73.9699902019154,18.5434456229533,0.0
93,73.9690544809979,18.5436406690675,0.0
94,73.9681487015741,18.5437965346386,0.0
95,73.9668832061564,18.5441141204051,0.0
96,73.965448372822,18.5444966074133,0.0
97,73.9641740176253,18.544976378333,0.0
98,73.9633027996118,18.5452635547307,0.0
99,73.9627349298755,18.545689142988,0.0
100,73.9617357232789,18.546211551121,0.0
101,73.9608669505561,18.5468866096198,0.0
102,73.9605622137821,18.5472169067969,0.0
103,73.9598420999713,18.5472180920706,0.0
104,73.9588212604435,18.5472793919235,0.0
105,73.9577835043933,18.5472560209779,0.0
106,73.9559521635604,18.5469142399319,0.0
107,73.9551417147491,18.5468218591648,0.0
108,73.9541666890342,18.5465520985712,0.0
109,73.9534321567336,18.5466183400482,0.0
110,73.9524986044064,18.5465935511362,0.0
111,73.9518542120684,18.5464507296488,0.0
112,73.9511897310782,18.5463049927731,0.0
113,73.950246182968,18.5463358359552,0.0
114,73.9495811741598,18.5463521595976,0.0
115,73.9484685076774,18.5462724324,0.0
116,73.9469581709797,18.5461556401977,0.0
117,73.9461332698197,18.5461887494191,0.0
118,73.9453556856856,18.5459960382823,0.0
119,73.9446929700454,18.5456216833401,0.0
120,73.9440998810466,18.5451902328196,0.0
121,73.9435676536825,18.5448387705657,0.0
122,73.9429868057867,18.5444095952082,0.0
123,73.9424508827301,18.5434851031006,0.0
124,73.9417158460666,18.5421102112552,0.0
125,73.940879594329,18.5405310060163,0.0
126,73.9405506402648,18.5395335266708,0.0
127,73.9397336778323,18.5379508300999,0.0
128,73.9387335497038,18.5369583878208,0.0
129,73.9379455706113,18.5367385703242,0.0
130,73.9370590838354,18.5367561354854,0.0
131,73.9361368763198,18.5367751068672,0.0
132,73.9356720642901,18.5368653755686,0.0
133,73.9347561961999,18.5372770078335,0.0
134,73.9341193482241,18.5369982444545,0.0
135,73.933235860612,18.536912219578,0.0
136,73.9321507737694,18.5370470351873,0.0
137,73.9307531134517,18.5374123297053,0.0
138,73.9296989782541,18.5378193212054,0.0
139,73.9290557334786,18.5381198016787,0.0
140,73.9277026063451,18.5386262893181,0.0
141,73.9264335418484,18.5388904277897,0.0
142,73.9252051679891,18.5391018688812,0.0
143,73.924454110075,18.5392464015551,0.0
144,73.9228213032863,18.5394749402751,0.0
145,73.9217318125967,18.5396618554316,0.0
146,73.9199560560795,18.539911587099,0.0
147,73.9182117920061,18.5399839761318,0.0
148,73.9163125078808,18.5401564729295,0.0
149,73.9156722052435,18.5402242355434,0.0
150,73.9135244056498,18.5406380695257,0.0
151,73.9122232606725,18.5408772105996,0.0
152,73.911422329665,18.5410760744845,0.0
153,73.9107621276766,18.5412662871159,0.0
154,73.9097691769505,18.5414317432291,0.0
155,73.9087835643494,18.5415364355221,0.0
